Conditions	filter_in	filter_out	Organism	Amount	Setup
human a	HYE_A@0	blk,GL23,GI23,GP7,GP6,GP5,GP4,GJ1,GI1,GB16,GB17,GH23,GG23,GA6,GB1,RD9,20240726173500,20240726170810,20240726170248,20240726165727,20240726165205,20240726164641,20240726164119,20240726163558,20240726163038,GG18,GG19,GG20,GG21,GG22,RG8,5ng	Human	65	A
human b	HYE_B@0	blk,GL23,GI23,GP7,GP6,GP5,GP4,GJ1,GI1,GB16,GB17,GH23,GG23,GA6,GB1,RD9,20240726173500,20240726170810,20240726170248,20240726165727,20240726165205,20240726164641,20240726164119,20240726163558,20240726163038,GG18,GG19,GG20,GG21,GG22,RG8,5ng	Human	65	B
yeast a	HYE_A@1	blk,GL23,GI23,GP7,GP6,GP5,GP4,GJ1,GI1,GB16,GB17,GH23,GG23,GA6,GB1,RD9,20240726173500,20240726170810,20240726170248,20240726165727,20240726165205,20240726164641,20240726164119,20240726163558,20240726163038,GG18,GG19,GG20,GG21,GG22,RG8,5ng	Yeast	30	A
yeast b	HYE_B@1	blk,GL23,GI23,GP7,GP6,GP5,GP4,GJ1,GI1,GB16,GB17,GH23,GG23,GA6,GB1,RD9,20240726173500,20240726170810,20240726170248,20240726165727,20240726165205,20240726164641,20240726164119,20240726163558,20240726163038,GG18,GG19,GG20,GG21,GG22,RG8,5ng	Yeast	15	B
bacteria a	HYE_A@2	blk,GL23,GI23,GP7,GP6,GP5,GP4,GJ1,GI1,GB16,GB17,GH23,GG23,GA6,GB1,RD9,20240726173500,20240726170810,20240726170248,20240726165727,20240726165205,20240726164641,20240726164119,20240726163558,20240726163038,GG18,GG19,GG20,GG21,GG22,RG8,5ng	E. Coli	5	A
bacteria b	HYE_B@2	blk,GL23,GI23,GP7,GP6,GP5,GP4,GJ1,GI1,GB16,GB17,GH23,GG23,GA6,GB1,RD9,20240726173500,20240726170810,20240726170248,20240726165727,20240726165205,20240726164641,20240726164119,20240726163558,20240726163038,GG18,GG19,GG20,GG21,GG22,RG8,5ng	E. Coli	20	B
human a5	HYE_A,DIAwet5ng@0@3	blk	Human	65	A
human b5	HYE_B,DIAwet5ng@0@3	blk	Human	65	B
yeast a5	HYE_A,DIAwet5ng@1@4	blk	Yeast	30	A
yeast b5	HYE_B,DIAwet5ng@1@4	blk	Yeast	15	B
bacteria a5	HYE_A,DIAwet5ng@2@5	blk	E. Coli	5	A
bacteria b5	HYE_B,DIAwet5ng@2@5	blk	E. Coli	20	B
